"","Ingredient","Parameter","As.fed","Unit"
"182","Blood-meal","C18:1 oleic acid",0.53333,"%"
"183","Blood-meal","C18:2 linoleic acid",0.04123,"%"
"184","Blood-meal","C18:3 linolenic acid",0.01197,"%"
"185","Blood-meal","C20:4 arachidonic acid",0.00266,"%"
"186","Blood-meal","C20:5 eicosapentaenoic acid",0,"%"
"187","Blood-meal","C22:5 docosapentaenoic acid",0,"%"
"188","Blood-meal","C22:6 docosahexaenoic acid",0,"%"
"189","Blood-meal","Fatty acids",0.931,"%"
"190","rapeseed-oil","C16:0 palmitic acid",4.6812,"%"
"191","rapeseed-oil","C18:1 oleic acid",60.1584,"%"
"192","rapeseed-oil","C18:2 linoleic acid",19.92,"%"
"193","rapeseed-oil","C18:3 linolenic acid",9.1632,"%"
"194","rapeseed-oil","C20:4 arachidonic acid",0.0996,"%"
"195","rapeseed-oil","C20:5 eicosapentaenoic acid",0,"%"
"196","rapeseed-oil","C22:5 docosapentaenoic acid",0,"%"
"197","rapeseed-oil","C22:6 docosahexaenoic acid",0.0996,"%"
"198","rapeseed-oil","Fatty acids",99.6,"%"
"199","maize-starch","C16:0 palmitic acid",0.0357,"%"
"200","maize-starch","C18:1 oleic acid",0.08874,"%"
"201","maize-starch","C18:2 linoleic acid",0.2023,"%"
"202","maize-starch","C18:3 linolenic acid",0.00442,"%"
"203","maize-starch","C20:4 arachidonic acid",0,"%"
"204","maize-starch","C20:5 eicosapentaenoic acid",0,"%"
"205","maize-starch","C22:5 docosapentaenoic acid",0,"%"
"206","maize-starch","C22:6 docosahexaenoic acid",0,"%"
"207","maize-starch","Fatty acids",0.289,"%"
"208","wheat-feed-flour","C16:0 palmitic acid",0.34176,"%"
"209","wheat-feed-flour","C18:1 oleic acid",0.29184,"%"
"210","wheat-feed-flour","C18:2 linoleic acid",1.08288,"%"
"211","wheat-feed-flour","C18:3 linolenic acid",0.11328,"%"
"212","wheat-feed-flour","C20:4 arachidonic acid",0,"%"
"213","wheat-feed-flour","C20:5 eicosapentaenoic acid",0,"%"
"214","wheat-feed-flour","C22:5 docosapentaenoic acid",0,"%"
"215","wheat-feed-flour","C22:6 docosahexaenoic acid",0,"%"
"216","wheat-feed-flour","Fatty acids",1.536,"%"
"217","DL-methionine","C16:0 palmitic acid",0,"%"
"218","DL-methionine","C18:1 oleic acid",0,"%"
"219","DL-methionine","C18:2 linoleic acid",0,"%"
"220","DL-methionine","C18:3 linolenic acid",0,"%"
"221","DL-methionine","C20:4 arachidonic acid",0,"%"
"222","DL-methionine","C20:5 eicosapentaenoic acid",0,"%"
"223","DL-methionine","C22:5 docosapentaenoic acid",0,"%"
"224","DL-methionine","C22:6 docosahexaenoic acid",0,"%"
"225","DL-methionine","Fatty acids",0,"%"
"226","monosodium-phosphate-anhydrous","C16:0 palmitic acid",0,"%"
"227","monosodium-phosphate-anhydrous","C18:1 oleic acid",0,"%"
"228","monosodium-phosphate-anhydrous","C18:2 linoleic acid",0,"%"
"229","monosodium-phosphate-anhydrous","C18:3 linolenic acid",0,"%"
"230","monosodium-phosphate-anhydrous","C20:4 arachidonic acid",0,"%"
"231","monosodium-phosphate-anhydrous","C20:5 eicosapentaenoic acid",0,"%"
"232","monosodium-phosphate-anhydrous","C22:5 docosapentaenoic acid",0,"%"
"233","monosodium-phosphate-anhydrous","C22:6 docosahexaenoic acid",0,"%"
"234","monosodium-phosphate-anhydrous","Fatty acids",0,"%"
"235","whey-permeate","Dry matter",97.7,"%"
"236","whey-permeate","Crude protein",5.6,"%"
"237","whey-permeate","Crude fibre",0,"%"
"238","whey-permeate","Crude fat",1.3,"%"
"239","whey-permeate","Ash",8.5,"%"
"240","whey-permeate","Starch",0,"%"
"241","whey-permeate","Total sugars",84.5,"%"
"242","whey-permeate","Mineral_percentage",6.88383,"%"
"243","whey-permeate","Phosp_percentage",0.68,"%"
"244","maize","Dry matter",86.3,"%"
"245","maize","Crude protein",7.6,"%"
"246","maize","Crude fibre",2.3,"%"
"247","maize","Crude fat",3.6,"%"
"248","maize","Ash",1.2,"%"
"249","maize","Starch",63.8,"%"
"250","maize","Total sugars",1.7,"%"
"251","maize","Mineral_percentage",1.059764,"%"
"252","maize","Phosp_percentage",0.44,"%"
"253","corn-gluten-feed","Dry matter",87.8,"%"
"254","corn-gluten-feed","Crude protein",18.9,"%"
"255","corn-gluten-feed","Crude fibre",7.9,"%"
"256","corn-gluten-feed","Crude fat",2.5,"%"
"257","corn-gluten-feed","Ash",5.7,"%"
"258","corn-gluten-feed","Starch",18,"%"
"259","corn-gluten-feed","Total sugars",1.7,"%"
