"ParticleSize","cumsum"
268,0.239139431535219
269,0.240154968540727
270,0.241167481175883
271,0.242176969440687
272,0.243183433335138
273,0.244186872859238
274,0.245187288012985
275,0.24618467879638
276,0.247179045209423
277,0.248170387252114
278,0.249158704924453
279,0.25014399822644
280,0.251126267158074
281,0.252105511719357
282,0.253081731910287
283,0.254054927730865
284,0.255024997051002
285,0.255991504231125
286,0.256954449271235
287,0.25791383217133
288,0.258869652931411
289,0.259821911551479
290,0.260771203134756
291,0.261718542091031
292,0.262663928420303
293,0.263607362122572
294,0.264548843197838
295,0.265488371646101
296,0.266425947467361
297,0.267361570661618
298,0.268295241228872
299,0.269226959169124
300,0.270156724482372
301,0.271084537168618
302,0.272010397227861
303,0.272934304660101
304,0.273855997308446
305,0.27477460530416
306,0.275690128647244
307,0.276602567337697
