"value","DaysSinceStart","MinimumValue"
39.2663910006667,557,1.760747583
39.269615813,558,1.760747583
39.2728406253333,559,1.760747583
39.2760654376667,560,1.760747583
39.27929025,561,1.760747583
39.1116693548387,562,1.760747583
38.9440484596774,563,1.760747583
38.7764275645161,564,1.760747583
38.6088066693548,565,1.760747583
38.4411857741935,566,1.760747583
38.2735648790323,567,1.760747583
38.105943983871,568,1.760747583
37.9383230887097,569,1.760747583
37.7707021935484,570,1.760747583
37.6030812983871,571,1.760747583
37.4354604032258,572,1.760747583
37.2678395080645,573,1.760747583
37.1002186129032,574,1.760747583
36.9325977177419,575,1.760747583
36.7649768225806,576,1.760747583
36.5973559274194,577,1.760747583
36.4297350322581,578,1.760747583
36.2621141370968,579,1.760747583
36.0944932419355,580,1.760747583
35.9268723467742,581,1.760747583
