"DaysSince2014","temperature_fit"
261,12.5346826915674
262,12.4971509748656
263,12.4592570861103
264,12.4213423185439
265,12.3838463875329
266,12.3473168492265
267,12.3123900041246
268,12.2797094311025
269,12.2497326586358
270,12.2223692959573
271,12.205117068267
272,12.1892707478842
273,12.1740167918445
274,12.1542910223292
275,12.1313641516965
276,12.1100041354787
277,12.0901534740345
278,12.0743537925129
279,12.0570702352454
280,12.0380479806317
281,12.020135242504
282,12.0034247099941
283,11.9860223064695
284,11.966302137009
285,11.9482618125031
286,11.9331104397845
287,11.9184202247867
288,11.9038386782686
289,11.8824718978095
290,11.8606332476871
291,11.8384399117441
292,11.8194660305379
293,11.8033774757297
294,11.7859124778982
295,11.7665849792257
296,11.7430047751337
297,11.7192956852621
298,11.6955598377909
299,11.6729652527973
300,11.6504598410081
301,11.6268415911198
302,11.6031347999719
303,11.5801029157221
304,11.5578996920678
305,11.5365408356551
306,11.5126607365933
307,11.4884922566278
308,11.4640292623119
309,11.4392673904562
310,11.4142056367884
311,11.3888489531173
312,11.3632124140942
313,11.3373277263913
314,11.3112529633561
315,11.2850860138209
316,11.2589803090545
317,11.2331558196761
318,11.2078860364763
319,11.1834218883134
320,11.159796378096
321,11.1407545812685
322,11.1279770063646
323,11.1178725961593
324,11.0971929914605
325,11.0762605181786
326,11.0546231634087
327,11.0413701391394
328,11.0382915897878
329,11.0352105107368
330,11.0305562893677
331,11.0105850460332
332,10.9892715470449
333,10.9666728723506
334,10.9521386441376
335,10.9417177890859
336,10.9246069811203
337,10.9014483583705
338,10.8765695488374
339,10.8513663805984
340,10.8257336925606
341,10.7975591524984
342,10.7634682987757
343,10.7251000440574
344,10.6839499529378
345,10.6545410337437
346,10.6246787517739
347,10.5943455581827
348,10.5569159429668
349,10.5122092024349
350,10.4673338244059
351,10.4230550909661
352,10.3913885075816
353,10.3594914460022
354,10.3273680798895
355,10.2896296752405
356,10.247489582783
357,10.2068752635112
358,10.1678872441536
359,10.1360740836284
360,10.1039948853576
361,10.0714938632871
362,10.0361800143271
363,9.9996305831255
364,9.96452971190767
365,9.93076005088147
366,9.89607833902069
367,9.85933357321573
368,9.82034928032097
369,9.7837220130375
370,9.75213975125541
371,9.71710571935145
372,9.67769561535368
373,9.64017776376662
374,9.60499336208161
375,9.57907814239804
376,9.55400975498433
377,9.52909173688465
378,9.5037542279461
379,9.47769269569682
380,9.45080909550518
381,9.42312061215978
382,9.39469434768655
383,9.36561159096285
384,9.33595257071036
385,9.30579336007778
386,9.27520068451547
387,9.24423149558301
388,9.21293435557047
389,9.18135086158154
390,9.14896936290902
391,9.11585261400597
392,9.0825566994159
393,9.04907574617709
394,9.01541025499244
395,8.98156527473215
396,8.94755032657674
397,8.91338051256469
398,8.87907866026002
399,8.84467952989024
400,8.8102308123516
401,8.77579621195683
402,8.74146059848924
403,8.70733718112655
404,8.67357743795982
405,8.64038263713317
406,8.60801435688724
407,8.57681726081762
408,8.54723327713847
409,8.51978862563476
410,8.49501948401185
411,8.47330581885861
412,8.45469488265642
413,8.42377648941062
414,8.38742788547375
415,8.34495961320539
416,8.31234762617884
417,8.29377433122138
418,8.25990930919579
419,8.20944049804738
420,8.16146753209386
421,8.1190158093106
422,8.09732216109817
423,8.07487331472685
424,8.0509642707828
425,8.02002654697829
426,7.98848189271085
427,7.96229762112567
428,7.94032903666833
429,7.91634990838028
430,7.89051808549591
431,7.87338310652468
432,7.85885602068958
433,7.84658636345056
434,7.82894132944665
435,7.80323761914661
436,7.7856161696299
437,7.77869926026774
438,7.77359478795507
439,7.7700583971714
440,7.74558191764438
441,7.72025665215861
442,7.6949052636926
443,7.68376162420034
444,7.6881239586101
445,7.69471402578986
446,7.70314978017545
447,7.6861368911379
448,7.671360034485
449,7.65992763042295
450,7.66505897300068
451,7.68582797748738
452,7.69683984575456
453,7.6996103151864
454,7.70865573734901
455,7.72583244398339
456,7.75194183819202
457,7.79104601444442
458,7.83191399093729
459,7.87282653327494
460,7.91199040085657
461,7.94842222778412
462,7.98187353838775
463,8.01252183718761
464,8.04072252451121
465,8.06686757942472
466,8.0913206874158
467,8.11439451777175
468,8.13634788543703
469,8.15739091295812
470,8.17769254237651
471,8.19738798313117
472,8.21658522232871
473,8.24538760849077
474,8.28480690445191
475,8.32439968693197
476,8.34208406377403
477,8.35768065686934
478,8.38316118119202
479,8.41972629411773
480,8.45424428397967
481,8.48629884264368
482,8.49187777324047
483,8.49311875517352
484,8.49210371205796
485,8.50391711941872
486,8.52725094174487
487,8.54853226693567
488,8.56781316215584
489,8.56529782827538
490,8.56663874484409
