,Lon,Lat,Depth
59926716,-5.35208333333333,56.0104166666667,-21.2900009155273
59926717,-5.34791666666666,56.0104166666667,-19.1119995117188
59926718,-5.34375,56.0104166666667,-17.9150009155273
59926719,-5.33958333333334,56.0104166666667,-16.2639999389648
59926720,-5.33541666666667,56.0104166666667,-15.8249998092651
59926721,-5.33125000000001,56.0104166666667,-18.0249996185303
59926722,-5.32708333333335,56.0104166666667,-13.9750003814697
59926723,-5.32291666666666,56.0104166666667,-12.6499996185303
59926724,-5.31874999999999,56.0104166666667,-4.2810001373291
59936294,-5.44374999999999,56.0145833333333,-1.60899996757507
59936295,-5.43958333333333,56.0145833333333,-9.25500011444092
59936296,-5.43541666666667,56.0145833333333,-4.28299999237061
59936312,-5.36875000000001,56.0145833333333,-11.2180004119873
59936313,-5.36458333333334,56.0145833333333,-12.5329999923706
59936314,-5.36041666666668,56.0145833333333,-22.2250003814697
59936315,-5.35624999999999,56.0145833333333,-25.8250007629395
59936316,-5.35208333333333,56.0145833333333,-37.7750015258789
59936317,-5.34791666666666,56.0145833333333,-47.7249984741211
59936318,-5.34375,56.0145833333333,-34.9500007629395
59936319,-5.33958333333334,56.0145833333333,-40.0499992370605
59936320,-5.33541666666667,56.0145833333333,-43.3499984741211
59936321,-5.33125000000001,56.0145833333333,-40.0740013122559
59936322,-5.32708333333335,56.0145833333333,-32.8689994812012
59936323,-5.32291666666666,56.0145833333333,-26.80299949646
59936324,-5.31874999999999,56.0145833333333,-8.31700038909912
59945895,-5.43958333333333,56.01875,-9.24400043487549
59945896,-5.43541666666667,56.01875,-1.86300003528595
59945912,-5.36875000000001,56.01875,-7.42700004577637
59945913,-5.36458333333334,56.01875,-8.70600032806396
59945914,-5.36041666666668,56.01875,-15.7749996185303
59945915,-5.35624999999999,56.01875,-16.4500007629395
59945916,-5.35208333333333,56.01875,-14.4409999847412
59945917,-5.34791666666666,56.01875,-20.7819995880127
59945918,-5.34375,56.01875,-27.0249996185303
59945919,-5.33958333333334,56.01875,-36.875
59945920,-5.33541666666667,56.01875,-39.9410018920898
59945921,-5.33125000000001,56.01875,-45.6030006408691
59945922,-5.32708333333335,56.01875,-50.8800010681152
59945923,-5.32291666666666,56.01875,-44.7809982299805
59945924,-5.31874999999999,56.01875,-29.3719997406006
59945925,-5.31458333333333,56.01875,-12.3009996414185
59955495,-5.43958333333333,56.0229166666667,-9.07699966430664
59955496,-5.43541666666667,56.0229166666667,-3.17600011825562
59955514,-5.36041666666668,56.0229166666667,-10.3500003814697
59955515,-5.35624999999999,56.0229166666667,-14.3229999542236
